Species	Status
Cedarpelta_bilbeyhallorum	extinct
Cedrorestes_crichtoni	extinct
Centrornis	extinct
Centrosaurinae	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Cepphus	extinct
Cepphus_columba	extinct
Cepphus_olsoni	extinct
Ceramornis_major	extinct
Cerapoda	extinct
Cerasinops_hodgskissi	extinct
Ceratonykus_oculatus	extinct
Ceratopsia	extinct
Ceratopsidae	extinct
Ceratosauria	extinct
Ceratosauridae	extinct
Ceratosauroidea	extinct
Ceratosaurus	extinct
Ceratosaurus_nasicornis	extinct
Cerebavis_cenomanica	extinct
Cerorhinca	extinct
Cerorhinca_dubia	extinct
Cerorhinca_minor	extinct
Cerorhinca_reai	extinct
Ceryle_torquata	extinct
Cetiosauridae	extinct
Cetiosauriscus_stewarti	extinct
Cetiosaurus	extinct
Cetiosaurus_brachyurus	extinct
Cetiosaurus_oxoniensis	extinct
Chaetoptila	extinct
Chaetura	extinct
Changchengornis_hengdaoziensis	extinct
Changchunsaurus_parvus	extinct
Changdusaurus_laminaplacodus	extinct
Changmaornis_houi	extinct
Changpeipus_bartholomaii	extinct
Changpeipus_carbonicus	extinct
Changyuraptor_yangi	extinct
Chaoyangia_beishanensis	extinct
Chaoyangsaurus_youngi	extinct
Chapus_lockleyi	extinct
Charadrii	extinct
Charadriiformes	extinct
Charadrius	extinct
Charadrius_bicinctus	extinct
Charadrius_obscurus	extinct
Charadrius_sanctaehelenae	extinct
Charadrius_semipalmatus	extinct
Charadrius_vociferus	extinct
Charonosaurus_jiayinensis	extinct
Chascacocolius	extinct
Chascacocolius_cacicirostris	extinct
Chasmosaurinae	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chebsaurus_algeriensis	extinct
Chelychelynechen_quassus	extinct
Chen_caerulescens	extinct
Chen_hyperborea	extinct
Chen_pressa	extinct
Chen_rossii	extinct
Chendytes	extinct
Chendytes_lawi	extinct
Chenonetta_finschi	extinct
Chenopis	extinct
Chilantaisaurus_tashuikouensis	extinct
Chilantaisaurus_zheziangensis	extinct
Chilesaurus_diegosuarezi	extinct
Chindesaurus_bryansmalli	extinct
Chinshakiangosaurus_chunghoensis	extinct
Chionoides_australiensis	extinct
Chirostenotes	extinct
Chirostenotes_elegans	extinct
Chirostenotes_pergracilis	extinct
Chlidonias	extinct
Chloephaga	extinct
Chodjapilesaurus_krimholzi	extinct
Chondestes_grammacus	extinct
Chromogisaurus_novasi	extinct
Chuandongocoelurus_primitivus	extinct
Chuanjiesaurus_anaensis	extinct
Chuanqilong_chaoyangensis	extinct
Chubutisaurus_insignis	extinct
Chunga	extinct
Chungkingosaurus_jiangbeiensis	extinct
Chuxiongosaurus_lufengensis	extinct
Ciconia	extinct
Ciconia_maltha	extinct
Ciconiidae	extinct
Ciconiiformes	extinct
Cimolopterygidae	extinct
Cimolopteryx	extinct
Cimolopteryx_maxima	extinct
Cimolopteryx_rara	extinct
Cinclosoma_punctatum	extinct
Circus	extinct
Ciridops	extinct
Cistothorus	extinct
Cistothorus_brevis	extinct
Citipati_osmolskae	extinct
Cladornis_pachypus	extinct
Clangula	extinct
Claosaurus	extinct
Claosaurus_agilis	extinct
Cnemiornis_calcitrans	extinct
Coahuilaceratops_magnacuerna	extinct
Coccyzus	extinct
Coccyzus_americanus	extinct
Coelophysidae	extinct
Coelophysis	extinct
Coelophysis_bauri	extinct
Coelophysis_kayentakatae	extinct
Coelophysis_rhodesiensis	extinct
Coelophysoidea	extinct
Coeluridae	extinct
Coeluroidea	extinct
Coelurosauria	extinct
Coelurosaurichnus	extinct
Coelurosaurichnus_grancieri	extinct
Coelurosaurichnus_kehli	extinct
Coelurosaurichnus_moeni	extinct
Coelurosaurichnus_palyssii	extinct
Coelurosaurichnus_perriauxi	extinct
Coelurosaurichnus_romanovskyi	extinct
Coelurosaurichnus_sabinensis	extinct
Coelurosaurichnus_sassendorfensis	extinct
Coelurosaurichnus_schlauersbachense	extinct
Coelurosaurichnus_schlehenbergensis	extinct
Coelurosaurichnus_tatricus	extinct
Coelurosaurichnus_toscanus	extinct
Coelurosaurichnus_ziegelangernensis	extinct
Coelurus	extinct
Coelurus_fragilis	extinct
Coenocorypha	extinct
Coenocorypha_iredalei	extinct
Colaptes	extinct
Colaptes_auratus	extinct
Colepiocephale_lambei	extinct
Coliidae	extinct
Colinus	extinct
Colinus_suilium	extinct
Colinus_virginianus	extinct
Colius	extinct
Collocalia	extinct
Coloradisaurus_brevis	extinct
Columba	extinct
Columba_livia	extinct
Columbidae	extinct
Columbina	extinct
Columbosauripus_ungulatus	extinct
Colymbiculus_udovichenkoi	extinct
Colymbidae	extinct
Colymboides	extinct
Colymboides_metzleri	extinct
Colymbus	extinct
Colymbus_nigricollis	extinct
Colymbus_oligocaenus	extinct
Colymbus_parvus	extinct
Colymbus_portisi	extinct
Colymbus_subparvus	extinct
Comahuesaurus_windhauseni	extinct
Compsognathidae	extinct
Compsognathus	extinct
Compsognathus_longipes	extinct
Concavenator_corcovatus	extinct
Conchoraptor_gracilis	extinct
Concornis_lacustris	extinct
Condorraptor_currumili	extinct
Confuciusornis	extinct
Confuciusornis_chuonzhous	extinct
Confuciusornis_dui	extinct
Confuciusornis_feducciai	extinct
Confuciusornis_jianchangensis	extinct
Confuciusornis_sanctus	extinct
Confuciusornis_suniae	extinct
Continuoolithus	extinct
Continuoolithus_canadensis	extinct
Contopus	extinct
Contopus_virens	extinct
Conuropsis_fratercula	extinct
Copepteryx_hexeris	extinct
Copepteryx_titan	extinct
Coracii	extinct
Coraciiformes	extinct
Coracopsis	extinct
Coragyps	extinct
Coragyps_atratus	extinct
Coronosaurus_brinkmani	extinct
Corpulentapus_lilasia	extinct
Corvidae	extinct
Corvipes_lacertoideus	extinct
Corvus	extinct
Corvus_annectens	extinct
Corvus_brachyrhynchos	extinct
Corvus_corax	extinct
Corvus_moriorum	extinct
Corvus_ossifragus	extinct
Corvus_pliocaenus	extinct
Corvus_wetmorei	extinct
Corythosaurini	extinct
Corythosaurus	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Coturnicops	extinct
Coturnix	extinct
Coturnix_novaezelandiae	extinct
Coua	extinct
Cracidae	extinct
Cracticidae	extinct
Craspedodon_lonzeensis	extinct
Cratoavis_cearensis	extinct
Cremaster_tytthus	extinct
Crichtonsaurus_benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Cridotrisauropus_cruentus	extinct
Crinifer	extinct
Crossvallia_unienwillia	extinct
Cruschedula_revola	extinct
Cruxicheiros_newmanorum	extinct
Cryolophosaurus_ellioti	extinct
Crypturellus	extinct
Cuculidae	extinct
Cumnoria_prestwichii	extinct
Cursoricoccyx_geraldinae	extinct
Cyanocitta	extinct
Cyanocitta_cristata	extinct
Cyanolanius	extinct
Cyanoramphus	extinct
Cygninae	extinct
Cygnopterus	extinct
Cygnus	extinct
Cygnus_(Olor)	extinct
Cygnus_atratus	extinct
Cygnus_columbianus	extinct
Cygnus_hibbardi	extinct
Cygnus_paloregonus	extinct
Cyphornis_magnus	extinct
Cyrilavis_olsoni	extinct
Cyrtonyx	extinct
Cyrtonyx_tedfordi	extinct
Daanosaurus_zhangi	extinct
Dacentrurinae	extinct
Dacentrurus	extinct
Dacentrurus_armatus	extinct
Daemonosaurus_chauliodus	extinct
Dafila	extinct
Dahalokely_tokana	extinct
Dakotadon_lakotaensis	extinct
Dakotaraptor_steini	extinct
Dakotasaurus_browni	extinct
Dakotornis_cooperi	extinct
Dalianraptor_cuhe	extinct
Dalingheornis_liweii	extinct
Damalasaurus_magnus	extinct
Dapingfangornis	extinct
Dapingfangornis_sentisorhinus	extinct
Dashanpusaurus_dongi	extinct
Dasornis	extinct
Dasornis_abdoun	extinct
Dasornis_emuinus	extinct
Daspletosaurus	extinct
Daspletosaurus_torosus	extinct
Dasyornis	extinct
Dasyornis_brachypterus	extinct
Datanglong_guangxiensis	extinct
Datonglong_tianzhenensis	extinct
Datousaurus_bashanensis	extinct
Daxiatitan_binglingi	extinct
Defarrariischnium_mapuchensis	extinct
Dege_hendeyi	extinct
Deinocheirus	extinct
Deinocheirus_mirificus	extinct
Deinodontidae	extinct
Deinonychosauria	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Delapparentia	extinct
Delapparentia_turolensis	extinct
Delatorrichnus	extinct
Delatorrichnus_goyenechei	extinct
Delphinornis	extinct
