"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1163673","occ","","","149600","Sauropoda","unranked clade","38653","Late Kimmeridgian","","155.7","150.8","47928"
"1163674","occ","29796","IF","149601","Parabrontopodus","genus","68971","Late Kimmeridgian","","155.7","150.8","50537"
"1163675","occ","","I","149602","Brontopodus","genus","67216","Late Kimmeridgian","","155.7","150.8","47928"
"1163676","occ","","","149602","Theropoda","unranked clade","38513","Late Kimmeridgian","","155.7","150.8","47966"
"1163760","occ","","","142093","Sauropoda","unranked clade","38653","Hauterivian","Barremian","132.9","125","46154"
"1163780","occ","","","145095","Linhenykus monodactylus","species","175494","Campanian","","83.6","72.1","47948"
"1163951","occ","","","55447","Theropoda","unranked clade","38513","Turonian","Maastrichtian","93.9","66","47958"
"1163955","occ","","","147070","Jiangxisaurus ganzhouensis","species","276173","Maastrichtian","","72.1","66","47959"
"1163956","occ","","IF","56026","Anomoepus natatilis","species","83159","Hettangian","Sinemurian","201.3","190.8","30917"
"1163957","occ","","IF","56026","Anomoepus dodai","species","83154","Hettangian","Sinemurian","201.3","190.8","30917"
"1163958","occ","","I","56026","Plastisauropus ingens","species","133386","Hettangian","Sinemurian","201.3","190.8","30917"
"1163959","occ","","IF","56026","Anomoepus longicauda","species","83157","Hettangian","Sinemurian","201.3","190.8","30917"
"1163961","occ","","IF","84072","Grallator mokanametsongensis","species","276178","Hettangian","Sinemurian","201.3","190.8","30917"
"1163962","occ","","IF","84072","Moyenisauropus levicauda","species","83158","Hettangian","Sinemurian","201.3","190.8","30917"
"1163963","occ","","IF","84072","Grallator rapidus","species","276180","Hettangian","Sinemurian","201.3","190.8","30917"
"1163964","occ","","IF","84072","Grallator digitigradus","species","276181","Hettangian","Sinemurian","201.3","190.8","30917"
"1163967","occ","","IF","84072","Anomoepus minutus","species","276188","Hettangian","Sinemurian","201.3","190.8","30917"
"1163968","occ","","IF","84072","Anomoepus turda","species","276191","Hettangian","Sinemurian","201.3","190.8","30917"
"1163969","occ","","IF","84072","Anomoepus fringilla","species","276192","Hettangian","Sinemurian","201.3","190.8","30917"
"1163972","occ","","IF","149701","Anomoepus vermivorus","species","83155","Hettangian","Sinemurian","201.3","190.8","30917"
"1163973","occ","","IF","149701","Anomoepus longicauda","species","83157","Hettangian","Sinemurian","201.3","190.8","30917"
"1163974","occ","","IF","149702","Anomoepus natator","species","52873","Hettangian","Sinemurian","201.3","190.8","30917"
"1163976","occ","","IF","149703","Anomoepus natator","species","52873","Hettangian","Sinemurian","201.3","190.8","30917"
"1163978","occ","","IF","149703","Anomoepus vermivorus","species","83155","Hettangian","Sinemurian","201.3","190.8","30917"
"1163979","occ","","I","149703","Plastisauropus ingens","species","133386","Hettangian","Sinemurian","201.3","190.8","30917"
"1163995","occ","","","149708","Dinosauria","unranked clade","52775","Norian","Rhaetian","228","201.3","28154"
"1163996","occ","","","149709","Melanorosauridae","family","38646","Hettangian","Sinemurian","201.3","190.8","28154"
"1163997","occ","","","149710","Melanorosauridae","family","38646","Hettangian","Sinemurian","201.3","190.8","28154"
"1163998","occ","29002","","149711","Melanorosaurus","genus","38648","Hettangian","Sinemurian","201.3","190.8","25375"
"1163999","occ","","","149712","Thecodontosaurus minimus","species","133364","Hettangian","Sinemurian","201.3","190.8","28154"
"1164000","occ","","","149713","Anchisauridae","family","38635","Hettangian","Sinemurian","201.3","190.8","28154"
"1164001","occ","","","149714","Anchisauridae","family","38635","Sinemurian","","199.3","190.8","28154"
"1164016","occ","","","51859","Iguanodontidae","family","38744","Kimmeridgian","","157.3","152.1","33897"
"1164017","occ","","","142027","Camarasauridae","family","38696","Early Valanginian","","140.2","136.4","33897"
"1164018","occ","","","142027","Ornithischia","unranked clade","38712","Early Valanginian","","140.2","136.4","33897"
"1164019","occ","","","139540","Theropoda","unranked clade","38513","Kimmeridgian","","157.3","152.1","33897"
"1164020","occ","","","149723","Theropoda","unranked clade","38513","Late Jurassic","","163.5","145","33897"
"1164021","occ","","","149724","Theropoda","unranked clade","38513","Late Jurassic","","163.5","145","33897"
"1164022","occ","","","149725","Theropoda","unranked clade","38513","Late Jurassic","","163.5","145","33897"
"1164023","occ","","","149726","Theropoda","unranked clade","38513","Late Jurassic","","163.5","145","33897"
"1164024","occ","","","149727","Theropoda","unranked clade","38513","Kimmeridgian","","157.3","152.1","33897"
