"Skorpiovenator,"Skorpiovenator bustingorryi",94.69999999999999,94.69999999999999
"Cridotrisauropus,"Cridotrisauropus cruentus",195.05,195.05
"Sonorasaurus,"Sonorasaurus thompsoni",99.4,99.4
"Colymbus,"Colymbus subparvus",3.9605,3.9605
"Rhabdodon","Rhabdodon",68.3,77.85
"Anas,"Anas clypeata",0.06885,4.4665
"Sceloglaux,"Sceloglaux albifacies",0.06885,1.294
"Latipons","Latipons",39.65,44.55
"Agelaius,"Agelaius phoeniceus",0.06885,3.35
"Abydosaurus,"Abydosaurus mcintoshi",101.25,101.25
"Dashanpusaurus,"Dashanpusaurus dongi",166.9,166.9
"Polacanthus,"Polacanthus foxii",102.44999999999999,129.43
"Prosaurolophus","Prosaurolophus",74.75,77.85
"Apteribis,"Apteribis brevis",0.00585,0.00585
"Gasparinisaura,"Gasparinisaura cincosaltensis",77.05,77.05
"Copepteryx,"Copepteryx titan",25.565,25.565
"Titanoceratops,"Titanoceratops ouranos",77.05,77.05
"Struthopus,"Struthopus schaumburgensis",142.6,142.6
"Meroktenos,"Meroktenos thabanensis",219.15,219.15
"Grallator,"Grallator angustidigitus",196.05,196.05
"Yurgovuchia,"Yurgovuchia doellingi",127.2,127.2
"Tetanurae","Tetanurae",69.05,195.05
"Junco,"Junco hyemalis",0.06885,3.35
"Diplodocus,"Diplodocus hallorum",147.9,151.15
"Eleutherornis,"Eleutherornis helveticus",39.65,39.65
"Ichthyornithiformes","Ichthyornithiformes",77.05,96.55
"Grallatoridae","Grallatoridae",106.75,175.5
"Jinzhouornis,"Jinzhouornis yixianensis",125.93,125.93
"Brontosaurus,"Brontosaurus parvus",150.35,151.15
"Buteo,"Buteo swainsoni",0.06885,0.06885
"Diomedeoides,"Diomedeoides lipsiensis",31.0,31.15
"Patagonichnornis,"Patagonichnornis venetiorum",68.3,68.3
"Xiuningpus","Xiuningpus",83.25,83.25
"Dafila","Dafila",1.29985,1.29985
"Procompsognathus,"Procompsognathus triassicus",213.78,213.78
"Balearica","Balearica",11.95,12.719999999999999
